   ,Start,End,Age,Gender,People
20211129,강원도,강원도,0,1,1840
20211129,강원도,강원도,0,2,1812
20211129,강원도,강원도,10,1,2184
20211129,강원도,강원도,10,2,2170
20211129,강원도,강원도,20,1,5338
20211129,강원도,강원도,20,2,4727
20211129,강원도,강원도,30,1,7136
20211129,강원도,강원도,30,2,4734
20211129,강원도,강원도,40,1,9793
20211129,강원도,강원도,40,2,5879
20211129,강원도,강원도,50,1,11278
20211129,강원도,강원도,50,2,6893
20211129,강원도,강원도,60,1,7523
20211129,강원도,강원도,60,2,4934
20211129,강원도,강원도,70,1,2621
20211129,강원도,강원도,70,2,2698
20211129,강원도,경기도,0,1,11583
20211129,강원도,경기도,0,2,10827
20211129,강원도,경기도,10,1,9346
20211129,강원도,경기도,10,2,8144
20211129,강원도,경기도,20,1,20344
20211129,강원도,경기도,20,2,18855
20211129,강원도,경기도,30,1,29990
20211129,강원도,경기도,30,2,24773
20211129,강원도,경기도,40,1,39323
20211129,강원도,경기도,40,2,27389
20211129,강원도,경기도,50,1,37852
20211129,강원도,경기도,50,2,28177
20211129,강원도,경기도,60,1,20692
20211129,강원도,경기도,60,2,14627
20211129,강원도,경기도,70,1,6224
20211129,강원도,경기도,70,2,5961
20211129,강원도,경상남도,0,1,265
20211129,강원도,경상남도,0,2,155
20211129,강원도,경상남도,10,1,280
20211129,강원도,경상남도,10,2,190
20211129,강원도,경상남도,20,1,913
20211129,강원도,경상남도,20,2,608
20211129,강원도,경상남도,30,1,937
20211129,강원도,경상남도,30,2,530
20211129,강원도,경상남도,40,1,1167
20211129,강원도,경상남도,40,2,674
20211129,강원도,경상남도,50,1,1307
20211129,강원도,경상남도,50,2,827
20211129,강원도,경상남도,60,1,823
20211129,강원도,경상남도,60,2,557
20211129,강원도,경상남도,70,1,283
20211129,강원도,경상남도,70,2,261
20211129,강원도,경상북도,0,1,463
20211129,강원도,경상북도,0,2,423
20211129,강원도,경상북도,10,1,516
20211129,강원도,경상북도,10,2,455
20211129,강원도,경상북도,20,1,1563
20211129,강원도,경상북도,20,2,990
20211129,강원도,경상북도,30,1,1628
20211129,강원도,경상북도,30,2,1058
20211129,강원도,경상북도,40,1,1894
20211129,강원도,경상북도,40,2,1284
20211129,강원도,경상북도,50,1,2567
20211129,강원도,경상북도,50,2,1837
20211129,강원도,경상북도,60,1,1777
20211129,강원도,경상북도,60,2,1213
20211129,강원도,경상북도,70,1,733
20211129,강원도,경상북도,70,2,575
20211129,강원도,광주광역시,0,1,59
20211129,강원도,광주광역시,0,2,59
20211129,강원도,광주광역시,10,1,86
20211129,강원도,광주광역시,10,2,84
20211129,강원도,광주광역시,20,1,424
20211129,강원도,광주광역시,20,2,336
20211129,강원도,광주광역시,30,1,344
20211129,강원도,광주광역시,30,2,197
20211129,강원도,광주광역시,40,1,422
20211129,강원도,광주광역시,40,2,247
20211129,강원도,광주광역시,50,1,548
20211129,강원도,광주광역시,50,2,337
20211129,강원도,광주광역시,60,1,244
20211129,강원도,광주광역시,60,2,192
20211129,강원도,광주광역시,70,1,56
20211129,강원도,광주광역시,70,2,99
20211129,강원도,대구광역시,0,1,224
20211129,강원도,대구광역시,0,2,262
20211129,강원도,대구광역시,10,1,348
20211129,강원도,대구광역시,10,2,255
20211129,강원도,대구광역시,20,1,911
20211129,강원도,대구광역시,20,2,662
20211129,강원도,대구광역시,30,1,960
20211129,강원도,대구광역시,30,2,662
20211129,강원도,대구광역시,40,1,1226
20211129,강원도,대구광역시,40,2,761
20211129,강원도,대구광역시,50,1,1376
20211129,강원도,대구광역시,50,2,897
20211129,강원도,대구광역시,60,1,800
20211129,강원도,대구광역시,60,2,513
20211129,강원도,대구광역시,70,1,182
20211129,강원도,대구광역시,70,2,305
20211129,강원도,대전광역시,0,1,261
20211129,강원도,대전광역시,0,2,185
20211129,강원도,대전광역시,10,1,302
20211129,강원도,대전광역시,10,2,259
20211129,강원도,대전광역시,20,1,1014
20211129,강원도,대전광역시,20,2,875
20211129,강원도,대전광역시,30,1,1211
20211129,강원도,대전광역시,30,2,748
20211129,강원도,대전광역시,40,1,1398
20211129,강원도,대전광역시,40,2,802
20211129,강원도,대전광역시,50,1,1557
20211129,강원도,대전광역시,50,2,959
20211129,강원도,대전광역시,60,1,733
20211129,강원도,대전광역시,60,2,523
20211129,강원도,대전광역시,70,1,257
20211129,강원도,대전광역시,70,2,240
20211129,강원도,부산광역시,0,1,138
20211129,강원도,부산광역시,0,2,189
20211129,강원도,부산광역시,10,1,310
20211129,강원도,부산광역시,10,2,202
20211129,강원도,부산광역시,20,1,836
20211129,강원도,부산광역시,20,2,666
20211129,강원도,부산광역시,30,1,1037
20211129,강원도,부산광역시,30,2,615
20211129,강원도,부산광역시,40,1,1162
20211129,강원도,부산광역시,40,2,721
20211129,강원도,부산광역시,50,1,1273
20211129,강원도,부산광역시,50,2,1014
20211129,강원도,부산광역시,60,1,936
20211129,강원도,부산광역시,60,2,809
20211129,강원도,부산광역시,70,1,321
20211129,강원도,부산광역시,70,2,394
20211129,강원도,서울특별시,0,1,6125
20211129,강원도,서울특별시,0,2,5561
20211129,강원도,서울특별시,10,1,5744
20211129,강원도,서울특별시,10,2,4898
20211129,강원도,서울특별시,20,1,16055
20211129,강원도,서울특별시,20,2,17585
20211129,강원도,서울특별시,30,1,22241
20211129,강원도,서울특별시,30,2,20027
20211129,강원도,서울특별시,40,1,25765
20211129,강원도,서울특별시,40,2,18742
20211129,강원도,서울특별시,50,1,26300
20211129,강원도,서울특별시,50,2,19849
20211129,강원도,서울특별시,60,1,15812
20211129,강원도,서울특별시,60,2,12125
20211129,강원도,서울특별시,70,1,5585
20211129,강원도,서울특별시,70,2,5403
20211129,강원도,울산광역시,0,1,166
20211129,강원도,울산광역시,0,2,61
20211129,강원도,울산광역시,10,1,143
20211129,강원도,울산광역시,10,2,83
20211129,강원도,울산광역시,20,1,429
20211129,강원도,울산광역시,20,2,268
20211129,강원도,울산광역시,30,1,524
20211129,강원도,울산광역시,30,2,322
20211129,강원도,울산광역시,40,1,554
20211129,강원도,울산광역시,40,2,372
20211129,강원도,울산광역시,50,1,644
20211129,강원도,울산광역시,50,2,454
20211129,강원도,울산광역시,60,1,419
20211129,강원도,울산광역시,60,2,287
20211129,강원도,울산광역시,70,1,89
20211129,강원도,울산광역시,70,2,104
